漢字,漢字構成
究,究
究,穴＋九
究,宀＋八＋九
去,去
去,土＋厶
橋,橋
橋,木＋喬
橋,木＋呑＋冋
橋,木＋夭＋口＋冂
橋,木＋丿＋大＋口＋冂
業,業
業,业＋䒑＋未
業,业＋丷＋一＋木
曲,曲
局,局
局,尸＋口
銀,銀
銀,金＋艮
苦,苦
苦,艹＋古
苦,艹＋十＋口
区,区
区,匚＋㐅
区,匸＋㐅
具,具
具,目＋一＋八
宮,宮
宮,宀＋呂
宮,宀＋口＋丿
君,君
君,尹＋口
化,化
化,亻＋匕
軽,軽
軽,車＋圣
軽,車＋又＋土
係,係
係,亻＋系
係,亻＋丿＋糸
係,亻＋丿＋幺＋小
血,血
血,丿＋皿
決,決
決,氵＋夬
決,氵＋大
県,県
県,目＋小
研,研
研,石＋开
研,丆＋口＋一＋廾
研,一＋丿＋口＋丨
湖,湖
湖,氵＋胡
湖,沽＋月
湖,氵＋古＋月
湖,氵＋十＋口＋月
庫,庫
庫,广＋車
幸,幸
向,向
向,丿＋冋
向,丿＋冂＋口
港,港
港,氵＋巷
港,氵＋共＋巳
港,氵＋共＋己
港,氵＋龷＋八＋巳
港,氵＋龷＋八＋己
港,氵＋卄＋一＋八＋巳
港,氵＋卄＋一＋八＋己
港,氵＋一＋丨＋八＋巳
港,氵＋一＋丨＋八＋己
号,号
号,口＋丂
根,根
根,木＋艮
祭,祭
祭,示
皿,皿
指,指
指,扌＋旨
指,扌＋匕＋日
始,始
始,女＋台
始,女＋厶＋口
歯,歯
歯,止＋凵＋米
死,死
死,歹＋匕
死,一＋夕＋匕
詩,詩
詩,言＋寺
詩,言＋土＋寸
仕,仕
仕,亻＋士
使,使
使,亻＋吏
使,亻＋一＋史
使,亻＋一＋口＋丿＋乀
次,次
次,冫＋欠
次,冫＋丿＋乛＋人
持,持
持,扌＋寺
持,扌＋土＋寸
事,事
事,一＋口＋彐＋亅
式,式
式,弋＋工
実,実
実,宀＋三＋人
実,宀＋一＋人
写,写
写,冖＋与
者,者
者,耂＋日
昔,昔
昔,龷＋日
昔,卄＋一＋日
昔,一＋丨＋日
酒,酒
酒,氵＋酉
守,守
守,宀＋寸
主,主
主,丶＋王
取,取
取,耳＋又
受,受
受,爫＋冖＋又
習,習
習,羽＋白
拾,拾
拾,扌＋合
拾,扌＋亼＋口
拾,扌＋人＋一＋口
集,集
集,隹＋木
終,終
終,糸＋冬
終,幺＋小＋夂＋⺀
終,幺＋小＋夂＋丶
州,州
重,重
住,住
住,亻＋主
住,亻＋丶＋王
宿,宿
宿,宀＋佰
宿,宀＋亻＋百
宿,宀＋亻＋一＋白
暑,暑
暑,日＋者
暑,日＋耂
所,所
所,戸＋斤
所,戶＋斤
助,助
助,且＋力
消,消
消,氵＋肖
消,氵＋丨＋丷＋月
昭,昭
昭,日＋召
昭,日＋刀＋口
章,章
章,立＋早
章,立＋日＋十
商,商
商,亠＋丷＋冏
商,亠＋丷＋冂＋㕣
商,亠＋丷＋冂＋儿＋口
商,亠＋丷＋冂＋八＋口
勝,勝
勝,月＋劵
勝,月＋龹＋力
勝,月＋丷＋二＋人＋力
勝,月＋八＋二＋人＋力
勝,月＋丷＋一＋人＋力
勝,月＋八＋一＋人＋力
乗,乗
植,植
植,木＋直
植,木＋十＋目
身,身
進,進
進,辶＋隹
申,申
深,深
深,氵＋罙
深,氵＋㓁＋木
深,氵＋冖＋儿＋木
深,氵＋冖＋八＋木
真,真
真,十＋具
真,十＋目＋一＋八
神,神
神,礻＋申
世,世
整,整
整,敕＋正
整,束＋攵＋一＋止
全,全
全,人＋王
全,入＋王
想,想
想,相＋心
想,木＋目＋心
相,相
相,木＋目
送,送
送,辶＋关
送,辶＋丷＋天
送,辶＋丷＋一＋大
息,息
息,自＋心
速,速
速,辶＋束
族,族
族,方＋𠂉＋矢
他,他
他,亻＋也
打,打
打,扌＋丁
打,扌＋一＋亅
代,代
代,亻＋弋
対,対
対,文＋寸
対,亠＋乂＋寸
対,亠＋丿＋寸
待,待
待,彳＋寺
待,彳＋土＋寸
第,第
第,竹＋弔
第,竹＋弓＋丨
題,題
題,是＋頁
題,日＋一＋龰＋頁
短,短
短,矢＋豆
炭,炭
炭,山＋灰
炭,山＋厂＋火
談,談
談,言＋炎
談,言＋火
着,着
着,䒑＋丨＋一＋丆＋目
着,丷＋一＋丨＋丿＋目
注,注
注,氵＋主
注,氵＋丶＋王
柱,柱
柱,木＋主
柱,木＋丶＋王
調,調
調,言＋周
調,言＋土＋口
帳,帳
帳,巾＋長
追,追
追,辶＋𠂤
追,辶＋丿＋㠯
丁,丁
丁,一＋亅
定,定
定,宀＋一＋龰
庭,庭
庭,广＋廷
庭,广＋廴＋壬
庭,广＋廴＋丿＋士
笛,笛
笛,竹＋由
鉄,鉄
鉄,金＋失
鉄,金＋丿＋夫
鉄,金＋丿＋二＋人
鉄,金＋丿＋一＋人
転,転
転,車＋云
転,車＋二＋厶
転,車＋一＋厶
都,都
都,者＋阝
都,耂＋日＋阝
度,度
度,广＋廿＋又
島,島
島,山
等,等
等,竹＋寺
等,竹＋土＋寸
登,登
登,癶＋豆
湯,湯
湯,氵＋昜
湯,氵＋旦＋勿
湯,氵＋日＋一＋勹＋丿
投,投
投,扌＋殳
投,扌＋几＋又
豆,豆
動,動
動,重＋力
童,童
童,立＋里
童,立＋甲＋二
童,立＋甲＋一
農,農
農,曲＋辰
波,波
波,氵＋皮
配,配
配,酉＋己
倍,倍
倍,亻＋咅
倍,亻＋立＋口
箱,箱
箱,竹＋相
箱,竹＋木＋目
畑,畑
畑,火＋田
発,発
発,癶＋二＋儿
発,癶＋一＋儿
反,反
反,厂＋又
板,板
板,木＋反
板,木＋厂＋又
坂,坂
坂,土＋反
坂,土＋厂＋又
悲,悲
悲,非＋心
皮,皮
鼻,鼻
鼻,自＋田＋廾
鼻,自＋畀
鼻,自＋田＋一＋丿＋丨
鼻,自＋田＋丌
美,美
美,⺷＋大
美,䒑＋丨＋一＋大
美,丷＋一＋丨＋大
筆,筆
筆,竹＋聿
筆,竹＋肀＋二
筆,竹＋肀＋一
氷,氷
表,表
表,龶
病,病
病,疒＋丙
病,疒＋一＋冂＋人
秒,秒
秒,禾＋少
秒,禾＋小＋丿
品,品
品,口＋吅
負,負
負,⺈＋貝
部,部
部,咅＋阝
部,立＋口＋阝
福,福
福,礻＋畐
福,礻＋一＋口＋田
服,服
服,月＋𠬝
服,月＋卩＋又
物,物
物,牛＋勿
物,牛＋勹＋丿
平,平
平,干＋丷
平,干＋八
返,返
返,辶＋反
返,辶＋厂＋又
勉,勉
勉,免＋力
放,放
放,方＋攵
味,味
味,口＋未
味,口＋一＋木
命,命
命,亼＋叩
命,人＋一＋口＋卩
面,面
面,一＋丿＋囬
面,一＋丿＋囗＋丨
問,問
問,門＋口
薬,薬
薬,艹＋楽
薬,艹＋白＋木
役,役
役,彳＋殳
役,彳＋几＋又
由,由
油,油
油,氵＋由
遊,遊
遊,辶＋斿
遊,辶＋方＋𠂉＋子
有,有
有,月
予,予
予,龴＋乛＋亅
葉,葉
葉,艹＋枼
葉,艹＋世＋木
陽,陽
陽,阝＋昜
陽,阝＋旦＋勿
陽,阝＋日＋一＋勹＋丿
羊,羊
洋,洋
洋,氵＋羊
様,様
様,木＋䒑＋一＋氺
様,木＋丷＋一＋氺
落,落
落,艹＋洛
落,艹＋氵＋各
落,艹＋氵＋夂＋口
旅,旅
旅,方＋𠂉
両,両
両,一＋冂＋山
緑,緑
緑,糸＋录
緑,幺＋小＋彐＋氺
流,流
流,氵＋㐬
流,氵＋亠＋厶＋川
礼,礼
礼,礻＋乚
列,列
列,歹＋刂
列,一＋夕＋刂
練,練
練,糸＋東
練,幺＋小＋東
路,路
路,足＋各
路,口＋龰＋夂
路,口＋止＋夂
和,和
和,禾＋口
愛,愛
愛,爫＋冖＋心＋夂
案,案
案,安＋木
案,宀＋女＋木
以,以
位,位
位,亻＋立
胃,胃
胃,田＋月
囲,囲
囲,囗＋井
囲,囗＋二＋丿＋丨
囲,囗＋一＋丿＋丨
衣,衣
衣,亠
印,印
印,卩
英,英
英,艹＋央
栄,栄
栄,⺍＋冖＋木
塩,塩
塩,土＋口＋皿
億,億
億,亻＋意
億,亻＋音＋心
億,亻＋立＋日＋心
貨,貨
貨,化＋貝
貨,亻＋匕＋貝
課,課
課,言＋果
課,言＋日＋木
加,加
加,力＋口
果,果
果,日＋木
芽,芽
芽,艹＋牙
械,械
械,木＋戒
械,木＋戈＋廾
械,木＋戈＋一＋丿＋丨
改,改
改,己＋攵
害,害
害,宀＋龶＋口
害,宀＋丰＋口
害,宀＋三＋丨＋口
害,宀＋一＋丨＋口
街,街
街,行＋圭
街,彳＋亍＋土
街,彳＋一＋丁＋土
街,彳＋二＋亅＋土
街,彳＋一＋亅＋土
覚,覚
覚,⺍＋冖＋見
各,各
各,夂＋口
関,関
関,門＋关
関,門＋丷＋天
関,門＋丷＋一＋大
完,完
完,宀＋元
完,宀＋一＋兀
完,宀＋一＋儿
管,管
管,竹＋官
管,竹＋宀＋㠯
官,官
官,宀＋㠯
観,観
観,𠂉＋一＋隹＋見
願,願
願,原＋頁
願,厂＋白＋小＋頁
喜,喜
喜,壴＋口
喜,十＋豆＋口
季,季
季,禾＋子
旗,旗
旗,方＋𠂉＋其
旗,方＋𠂉＋卄＋一＋八
旗,方＋𠂉＋一＋丨＋八
紀,紀
紀,糸＋己
紀,糸＋巳
紀,幺＋小＋己
紀,幺＋小＋巳
希,希
希,㐅＋布
希,㐅＋巾
機,機
機,木＋幾
機,木＋幺＋戈＋人
器,器
器,㗊＋大
器,吅＋大
器,口＋大
議,議
議,言＋義
議,言＋⺷＋我
議,言＋䒑＋丨＋一＋我
議,言＋丷＋一＋丨＋我
救,救
救,求＋攵
泣,泣
泣,氵＋立
求,求
給,給
給,糸＋合
給,幺＋小＋亼＋口
給,幺＋小＋人＋一＋口
挙,挙
挙,兴＋手
挙,⺍＋一＋八＋手
協,協
協,十＋劦
協,十＋力
鏡,鏡
鏡,金＋竟
鏡,金＋音＋儿
鏡,金＋立＋日＋儿
競,競
競,竞
競,立＋兄
競,立＋口＋儿
共,共
共,龷＋八
共,卄＋一＋八
共,一＋丨＋八
極,極
極,木＋亟
極,木＋丂＋叹＋一
極,木＋了＋叹＋一
極,木＋丂＋口＋又＋一
極,木＋乛＋亅＋口＋又＋一
訓,訓
訓,言＋川
軍,軍
軍,冖＋車
郡,郡
郡,君＋阝
郡,尹＋口＋阝
型,型
型,刑＋土
型,开＋刂＋土
型,一＋廾＋刂＋土
型,一＋丿＋丨＋刂＋土
径,径
径,彳＋圣
径,彳＋又＋土
景,景
景,日＋京
景,日＋亠＋口＋小
芸,芸
芸,艹＋云
芸,艹＋二＋厶
芸,艹＋一＋厶
結,結
結,糸＋吉
結,幺＋小＋士＋口
欠,欠
欠,丿＋乛＋人
建,建
建,廴＋聿
建,廴＋肀＋二
建,廴＋肀＋一
健,健
健,亻＋建
健,亻＋廴＋聿
健,亻＋廴＋肀＋二
健,亻＋廴＋肀＋一
験,験
験,馬＋㑒
験,馬＋亼＋口＋人
験,馬＋人＋一＋口
固,固
固,囗＋古
固,囗＋十＋口
候,候
候,亻＋丨＋矢
功,功
功,工＋力
好,好
好,女＋子
航,航
航,舟＋亢
航,舟＋亠＋几
康,康
康,广＋隶
告,告
告,⺧＋口
告,丿＋土＋口
差,差
差,䒑＋丨＋一＋丆＋工
差,丷＋一＋丨＋丿＋工
最,最
最,日＋取
最,日＋耳＋又
菜,菜
菜,艹＋采
菜,艹＋爫＋木
材,材
材,木＋才
昨,昨
昨,日＋乍
殺,殺
殺,杀＋殳
殺,㐅＋木＋几＋又
殺,㐅＋朩＋几＋又
刷,刷
刷,尸＋巾＋刂
札,札
札,木＋乚
察,察
察,宀＋祭
察,宀＋示
参,参
参,厶＋大＋彡
散,散
散,龷＋月＋攵
散,卄＋一＋月＋攵
散,一＋丨＋月＋攵
産,産
産,产＋生
産,亠＋丷＋厂＋生
残,残
残,歹＋㦮
残,一＋夕＋㦮
氏,氏
史,史
史,口＋丿＋乀
試,試
試,言＋式
試,言＋弋＋工
士,士
司,司
司,一＋口
治,治
治,氵＋台
治,氵＋厶＋口
児,児
児,旧＋儿
児,丨＋日＋儿
辞,辞
辞,舌＋辛
辞,千＋口＋立＋十
失,失
失,丿＋夫
失,丿＋二＋人
失,丿＋一＋人
借,借
借,亻＋昔
借,亻＋龷＋日
借,亻＋卄＋一＋日
借,亻＋一＋丨＋日
種,種
種,禾＋重
周,周
周,土＋口
祝,祝
祝,礻＋兄
祝,礻＋口＋儿
順,順
順,川＋頁
初,初
初,衤＋刀
唱,唱
唱,口＋昌
唱,口＋日
笑,笑
笑,竹＋夭
笑,竹＋丿＋大
焼,焼
焼,火＋尭
焼,火＋十＋卄＋兀
焼,火＋十＋一＋丨＋儿
松,松
松,木＋公
松,木＋八＋厶
賞,賞
賞,龸＋員
賞,⺌＋冖＋口＋貝
賞,丨＋丷＋冖＋口＋貝
象,象
照,照
照,昭＋灬
照,日＋召＋灬
照,日＋刀＋口＋灬
省,省
省,少＋目
省,小＋丿＋目
信,信
信,亻＋言
臣,臣
清,清
清,氵＋青
清,氵＋龶＋月
静,静
静,青＋争
静,龶＋月＋⺈＋彐＋亅
成,成
成,戊
成,丿＋戈
席,席
席,广＋廿＋巾
積,積
積,禾＋責
積,禾＋龶＋貝
節,節
節,竹＋即
節,竹＋卽
節,竹＋皀＋卩
節,竹＋白＋匕＋卩
折,折
折,扌＋斤
説,説
説,言＋兑
説,言＋丷＋兄
説,言＋丷＋口＋儿
戦,戦
戦,単＋戈
戦,⺍＋日＋十＋戈
選,選
選,辶＋巽
選,辶＋己＋共
選,辶＋巳＋共
選,辶＋己＋龷＋八
選,辶＋巳＋龷＋八
選,辶＋己＋卄＋一＋八
選,辶＋巳＋卄＋一＋八
選,辶＋己＋一＋丨＋八
選,辶＋巳＋一＋丨＋八
浅,浅
浅,氵＋㦮
巣,巣
巣,⺍＋果
巣,⺍＋日＋木
争,争
争,⺈＋彐＋亅
倉,倉
倉,亼＋口
倉,亽＋口
倉,人＋一＋口
倉,人＋丶＋口
束,束
側,側
側,亻＋則
側,亻＋貝＋刂
続,続
続,糸＋売
続,幺＋小＋士＋冖＋儿
卒,卒
卒,亠＋从＋十
卒,亠＋人＋十
孫,孫
孫,子＋系
孫,子＋丿＋糸
孫,子＋丿＋幺＋小
隊,隊
隊,阝＋㒸
隊,阝＋丷＋豕
隊,阝＋八＋豕
帯,帯
帯,丗＋冖＋巾
帯,廿＋丨＋冖＋巾
達,達
達,辶＋土＋羊
単,単
単,⺍＋日＋十
置,置
置,罒＋直
置,罒＋十＋目
仲,仲
仲,亻＋中
仲,亻＋口＋丨
貯,貯
貯,貝＋宁
貯,貝＋宀＋丁
貯,貝＋宀＋一＋亅
兆,兆
腸,腸
腸,月＋昜
腸,月＋旦＋勿
腸,月＋日＋一＋勹＋丿
停,停
停,亻＋亭
停,亻＋亠＋口＋冖＋丁
停,亻＋亠＋口＋冖＋一＋亅
低,低
低,亻＋氐
低,亻＋氏＋一
低,亻＋氏＋丶
底,底
底,广＋氐
底,广＋氏＋一
底,广＋氏＋丶
的,的
的,白＋勺
的,白＋勹＋丶
的,白＋勹＋一
典,典
伝,伝
伝,亻＋云
伝,亻＋二＋厶
伝,亻＋一＋厶
徒,徒
徒,彳＋走
徒,彳＋土＋龰
努,努
努,奴＋力
努,女＋又＋力
灯,灯
灯,火＋丁
灯,火＋一＋亅
働,働
働,亻＋動
働,亻＋重＋力
堂,堂
堂,龸＋口＋土
堂,⺌＋冖＋口＋土
堂,丨＋丷＋冖＋口＋土
特,特
特,牛＋寺
特,牛＋土＋寸
得,得
得,彳＋㝵
得,彳＋旦＋寸
得,彳＋日＋一＋寸
毒,毒
毒,龶＋毋
毒,龶＋母
熱,熱
熱,埶＋灬
熱,坴＋丸＋灬
熱,圥＋土＋九＋丶＋灬
熱,土＋儿＋九＋丶＋灬
然,然
然,犬＋灬
念,念
念,今＋心
念,亼＋心
念,亽＋心
念,人＋一＋心
念,人＋丶＋心
敗,敗
敗,貝＋攵
梅,梅
梅,木＋毎
梅,木＋每
梅,木＋𠂉＋毋
梅,木＋𠂉＋母
博,博
博,十＋尃
博,十＋専＋丶
博,十＋甫＋寸
博,十＋一＋日＋丨＋寸＋丶
飯,飯
飯,食＋反
飯,食＋厂＋又
飛,飛
費,費
費,弗＋貝
費,弓＋丿＋丨＋貝
必,必
必,心＋丿
票,票
票,覀＋示
票,襾＋示
票,西＋示
票,一＋儿＋口＋示
標,標
標,木＋票
標,木＋覀＋示
標,木＋襾＋示
標,木＋西＋示
標,木＋一＋儿＋口＋示
付,付
付,亻＋寸
府,府
府,广＋付
府,广＋亻＋寸
不,不
夫,夫
夫,二＋人
夫,一＋人
無,無
無,灬
副,副
副,畐＋刂
副,一＋口＋田＋刂
粉,粉
粉,米＋分
粉,米＋八＋刀
兵,兵
兵,丘＋八
別,別
別,口＋刂
辺,辺
辺,辶＋刀
変,変
変,亦＋夂
変,亠＋丿＋亅＋夂
便,便
便,亻＋更
便,亻＋一＋日＋丿＋乀
法,法
法,氵＋去
法,氵＋土＋厶
包,包
包,勹＋己
包,勹＋巳
望,望
望,亡＋月＋王
望,亠＋月＋王
牧,牧
牧,牛＋攵
末,末
末,一＋木
満,満
満,氵＋艹＋両
満,氵＋艹＋一＋冂＋山
未,未
未,一＋木
脈,脈
脈,月＋𠂢
脈,月＋𠂆
民,民
約,約
約,糸＋勺
約,幺＋小＋勹＋丶
約,幺＋小＋勹＋一
勇,勇
勇,龴＋田＋力
勇,甬＋力
勇,龴＋用＋力
要,要
要,覀＋女
要,襾＋女
要,西＋女
要,一＋儿＋口＋女
養,養
養,⺷＋食
養,䒑＋丨＋一＋食
養,丷＋一＋丨＋食
浴,浴
浴,氵＋谷
浴,氵＋八＋人＋口
利,利
利,禾＋刂
陸,陸
陸,阝＋坴
陸,阝＋圥＋土
陸,阝＋土＋儿
量,量
量,旦＋里
量,日＋一＋甲＋二
良,良
良,丨＋艮
漁,漁
漁,氵＋魚
漁,氵＋⺈＋田＋灬
料,料
